id,nombre,sex,edad,altura,peso,equipo,NOC,juegos,year,temporada,ciudad,deporte,evento,medalla
1649,Artur Kamilevich Akhmatkhuzin,M,28,187,79,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold
1682,Morolake Akinosun,F,22,163,61,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1683,Foluke Antinuke Akinradewo,F,28,191,79,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
1716,Daniel Akpeyi,M,30,187,80,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
1730,Monica Aksamit,F,26,183,74,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze
1858,Fehaid Al-Deehani,M,49,178,95,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold
2112,Abdullah Al-Rashidi,M,52,183,83,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze
2464,Jo Qesem Ayela Aleh,F,30,171,58,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Silver
2497,Artur Aleksanyan,M,24,190,98,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
2517,Milan Aleksi,M,30,193,96,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
2610,Abdoul Razak Issoufou Alfaga,M,21,207,90,Niger,NIG,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Silver
2695,Nia Sifaatihii Ali,F,27,170,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Silver
2758,Alison Conte Cerutti,M,30,203,106,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
2769,Kimia Alizadeh Zenoorin,F,18,185,57,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,Bronze
3077,Ida Alstad,F,31,172,60,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
3174,Lzaro Jorge lvarez Estrada,M,25,173,60,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,Bronze
3206,Yuri Alvear Orjuela,F,30,176,70,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Middleweight,Silver
3537,Marwa Al-Amri,F,27,160,58,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
3561,Stanley Amuzie,M,20,171,85,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
3566,An Ba-Ul,M,22,169,66,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Silver
3672,milie Andol,F,28,170,97,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,Gold
3691,Anne Dsane Andersen,F,23,183,86,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,Bronze
3845,"Matthew John ""Matt"" Anderson",M,29,202,100,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
3936,Jonna Andersson,F,23,167,61,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
4447,Roman Sergeyevich Anoshkin,M,28,192,95,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
4466,Giselle Anne Ansley,F,24,176,73,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
4505,Carmelo Kyan Anthony,M,32,203,109,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
4575,Oleg Antonov,M,28,198,88,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
4724,Emilia Elisabeth Appelqvist,F,26,168,65,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
4782,Hirooki Arai,M,28,180,62,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,Bronze
4928,Katie Louise Archibald,F,22,178,70,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Gold
5023,Joahnys Oscar Argilagos Prez,M,19,152,49,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,Bronze
5093,William Peixoto Arjona,M,37,186,78,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
5167,Kristin Ann Armstrong (-Savola),F,42,173,58,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Individual Time Trial,Gold
5245,Emilie Hegh Arntzen,F,22,183,78,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
5414,Migran Arutyunyan,M,27,166,67,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
5542,"Geraldina Rachel ""Dina"" Asher-Smith",F,20,164,55,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
5561,Nickel Ashmeade,M,26,183,77,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
5577,Jessica Ashwood,F,23,173,64,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
5631,"Kosovare ""Kosse"" Asllani",F,27,166,56,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
5934,Sandra Auffarth,F,29,170,57,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
5971,Seimone Delicia Augustus,F,32,183,74,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
6160,Mohd Azizulhasni Awang,M,28,166,69,Malaysia,MAS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Keirin,Bronze
6174,Viktor Axelsen,M,22,194,88,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,Bronze
6204,Almaz Ayana Eba,F,24,166,47,Ethiopia,ETH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",Bronze
6204,Almaz Ayana Eba,F,24,166,47,Ethiopia,ETH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",Gold
6241,Camille Anas Ayglon-Saurina,F,31,180,66,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
6346,Jrmie Azou,M,27,178,71,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Gold
6352,Okechukwu Godson Azubuike,M,19,170,68,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
6624,Diana Bacosi,F,33,175,85,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Skeet,Gold
6632,Timea Bacsinszky,F,27,170,62,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,Silver
6912,Kemar Bailey-Cole,M,24,193,84,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
7020,Kathleen Baker,F,19,173,68,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,Silver
7020,Kathleen Baker,F,19,173,68,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
7026,Mashu Baker,M,21,178,90,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,Gold
7034,Shakira Baker,F,24,172,89,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
7133,Dmitry Igorevich Balandin,M,21,195,85,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,Gold
7590,Kayla Banwarth,F,27,178,70,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
7612,Carina Br,F,26,185,75,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Gold
7716,Brbara Seixas de Freitas,F,29,178,67,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
7884,Elinor Jane Barker,F,21,168,56,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Gold
7956,Harrison Bryce Jordan Barnes,M,24,203,102,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
8025,Thomas Gabriel Jrmie Baroukh,M,28,183,70,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
8051,Bronte Amelia Arnold Barratt,F,27,171,59,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
8128,"Jennifer Mae ""Jenny"" Barringer-Simpson",F,29,166,53,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",Bronze
8204,Mutaz Essa Barshim,M,25,190,65,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Silver
8214,Jacob Jepsen Barse,M,27,188,73,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
8364,Saskia Bartusiak,F,33,170,60,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
8417,Dimitri David Bascou,M,29,181,80,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,Bronze
8452,Fabio Basile,M,21,160,66,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Gold
8607,Vitalina Igorevna Batsarashkina,F,19,162,60,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
8672,Mathieu Albert Daniel Bauderlique,M,27,185,81,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,Bronze
8715,Robert Bauer,M,21,183,76,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
8729,Grgory Benot Baug,M,31,181,100,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Bronze
9089,Maxime Eugne Ren Beaumont,M,34,191,94,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver
9181,Nicole Elise Beck,F,28,168,66,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
9239,Janine Elizabeth Beckie,F,21,173,63,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
9307,gatha Bednarczuk Rippel,F,33,182,70,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
9349,Ludger Beerbaum,M,52,190,85,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
9432,"Genevieve ""Gen"" Behrent",F,25,183,73,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,Silver
9434,Melanie Behringer,F,30,172,71,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
9444,Milad Beigi Hareqani,M,25,197,80,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight,Bronze
9464,Ruth Beita Vila,F,37,191,72,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,Gold
9546,Jose Blanger,F,30,163,63,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
9567,Mathew Belcher,M,33,173,62,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Silver
9577,Zhan Vensanovych Beleniuk,M,25,178,85,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
9750,Mireia Belmonte Garca,F,25,170,59,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,Gold
9750,Mireia Belmonte Garca,F,25,170,59,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
9764,Alexander Belonogoff,M,26,187,90,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
9790,Olga Konstantinovna Belova-Gorbunova,F,22,169,60,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
9823,Anastasiya Yevgenyevna Belyakova,F,23,173,60,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Lightweight,Bronze
9829,David Sagitovich Belyavsky,M,24,165,55,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
9829,David Sagitovich Belyavsky,M,24,165,55,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
9990,Lars Bender,M,27,184,80,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
9991,Sven Bender,M,27,185,80,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
10048,Meaghan Benfeito,F,27,155,48,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform,Bronze
10048,Meaghan Benfeito,F,27,155,48,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Bronze
10140,"Brittany ""Britt"" Benn",F,27,165,68,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
10173,Karen Bennett,F,27,179,75,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
10177,Mark Stewart Bennett,M,23,183,89,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
10181,Paul Bennett,M,27,207,100,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
10257,"Joseph ""Gunnar"" Bentz",M,20,196,84,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
10259,Matej Beu,M,28,196,83,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
10341,Mdlina Bere,F,23,186,75,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
10425,Stig Andr Berge,M,33,167,60,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
10502,Emma Sofia Berglund,F,27,171,64,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
11094,Nicole Beukers,F,25,170,66,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
11111,Allison Beveridge,F,23,169,62,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Bronze
11278,Roberta Bianconi,F,27,176,76,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
11293,"Daniel ""Dan"" Bibby",M,25,176,86,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
11448,Fiona Clare Bigwood,F,40,173,75,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
11451,Marko Bija,M,25,201,85,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Bronze
11653,Emanuele Birarelli,M,35,202,95,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
11656,Stefan Birevi,M,26,210,104,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Silver
11671,"Suzanne Brigit ""Sue"" Bird",F,35,175,66,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
11673,Dane Alex Bird-Smith,M,24,187,72,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Bronze
11739,Vera Leonidovna Biryukova,F,18,168,47,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
12020,Emma Stina Blackstenius,F,20,173,69,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
12086,Yohan Blake,M,26,180,80,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
12290,Irina Valeryevna Bliznova,F,29,182,68,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
12291,Anastasiya Ilyinichna Bliznyuk,F,22,173,51,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
12399,Pernille Blume,F,22,170,58,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,Gold
12399,Pernille Blume,F,22,170,58,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
12490,Jack Bobridge,M,27,180,65,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
12496,Vladlena Eduardovna Bobrovnikova,F,28,180,72,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
12511,Gauthier Boccard,M,24,186,79,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Silver
12574,Gbor Gyula Boczk,M,39,192,89,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Bronze
12593,Michal Alexandre Bodegas,M,29,192,102,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
12738,Bogdan Bogdanovi,M,23,197,99,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Silver
12740,Tijana Bogdanovi,F,18,172,52,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Silver
12757,Andreea Boghian,F,24,186,78,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
12981,Shmagi Bolkvadze,M,22,170,66,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
12984,Timo Boll,M,35,181,74,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Bronze
